areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate
K02000001,United Kingdom,overview,27/10/2021,55000000
K02000001,United Kingdom,overview,26/10/2021,49794120
K02000001,United Kingdom,overview,25/10/2021,49753037
K02000001,United Kingdom,overview,24/10/2021,49715228
K02000001,United Kingdom,overview,23/10/2021,49689481
K02000001,United Kingdom,overview,22/10/2021,49649389
K02000001,United Kingdom,overview,21/10/2021,49603139
K02000001,United Kingdom,overview,20/10/2021,49554407
K02000001,United Kingdom,overview,19/10/2021,49505327
K02000001,United Kingdom,overview,18/10/2021,49462425
K02000001,United Kingdom,overview,17/10/2021,49422753
K02000001,United Kingdom,overview,16/10/2021,49404916
K02000001,United Kingdom,overview,15/10/2021,49375917
K02000001,United Kingdom,overview,14/10/2021,49335154
K02000001,United Kingdom,overview,13/10/2021,49291665
K02000001,United Kingdom,overview,12/10/2021,49252939
K02000001,United Kingdom,overview,11/10/2021,49216092
K02000001,United Kingdom,overview,10/10/2021,49186920
K02000001,United Kingdom,overview,09/10/2021,49164814
K02000001,United Kingdom,overview,08/10/2021,49133419
K02000001,United Kingdom,overview,07/10/2021,49101734
K02000001,United Kingdom,overview,06/10/2021,49068705
K02000001,United Kingdom,overview,05/10/2021,49035877
K02000001,United Kingdom,overview,04/10/2021,48994530
K02000001,United Kingdom,overview,03/10/2021,48956859
K02000001,United Kingdom,overview,02/10/2021,48932736
K02000001,United Kingdom,overview,01/10/2021,48901670
K02000001,United Kingdom,overview,30/09/2021,48863490
K02000001,United Kingdom,overview,29/09/2021,48829118
K02000001,United Kingdom,overview,28/09/2021,48797579
K02000001,United Kingdom,overview,27/09/2021,48765726
K02000001,United Kingdom,overview,26/09/2021,48740807
K02000001,United Kingdom,overview,25/09/2021,48724823
K02000001,United Kingdom,overview,24/09/2021,48700527
K02000001,United Kingdom,overview,23/09/2021,48672910
K02000001,United Kingdom,overview,22/09/2021,48647827
K02000001,United Kingdom,overview,21/09/2021,48625148
K02000001,United Kingdom,overview,20/09/2021,48604764
K02000001,United Kingdom,overview,19/09/2021,48584614
K02000001,United Kingdom,overview,18/09/2021,48570774
K02000001,United Kingdom,overview,17/09/2021,48544576
K02000001,United Kingdom,overview,16/09/2021,48523798
K02000001,United Kingdom,overview,15/09/2021,48500747
K02000001,United Kingdom,overview,14/09/2021,48476345
K02000001,United Kingdom,overview,13/09/2021,48458700
K02000001,United Kingdom,overview,12/09/2021,48439272
K02000001,United Kingdom,overview,11/09/2021,48424317
K02000001,United Kingdom,overview,10/09/2021,48396404
K02000001,United Kingdom,overview,09/09/2021,48370340
K02000001,United Kingdom,overview,08/09/2021,48344566
K02000001,United Kingdom,overview,07/09/2021,48319435
K02000001,United Kingdom,overview,06/09/2021,48292811
K02000001,United Kingdom,overview,05/09/2021,48270113
K02000001,United Kingdom,overview,04/09/2021,48248318
K02000001,United Kingdom,overview,03/09/2021,48207264
K02000001,United Kingdom,overview,02/09/2021,48171998
K02000001,United Kingdom,overview,01/09/2021,48131996
K02000001,United Kingdom,overview,31/08/2021,48087908
K02000001,United Kingdom,overview,30/08/2021,48048009
K02000001,United Kingdom,overview,29/08/2021,48028366
K02000001,United Kingdom,overview,28/08/2021,48003976
K02000001,United Kingdom,overview,27/08/2021,47960705
K02000001,United Kingdom,overview,26/08/2021,47915768
K02000001,United Kingdom,overview,25/08/2021,47860628
K02000001,United Kingdom,overview,24/08/2021,47792552
