areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,21/10/2021,2000
K02000001,United Kingdom,overview,20/10/2021,872
K02000001,United Kingdom,overview,19/10/2021,851
K02000001,United Kingdom,overview,18/10/2021,826
K02000001,United Kingdom,overview,17/10/2021,819
K02000001,United Kingdom,overview,16/10/2021,805
K02000001,United Kingdom,overview,15/10/2021,791
K02000001,United Kingdom,overview,14/10/2021,783
K02000001,United Kingdom,overview,13/10/2021,781
K02000001,United Kingdom,overview,12/10/2021,780
K02000001,United Kingdom,overview,11/10/2021,747
K02000001,United Kingdom,overview,10/10/2021,744
K02000001,United Kingdom,overview,09/10/2021,768
K02000001,United Kingdom,overview,08/10/2021,780
K02000001,United Kingdom,overview,07/10/2021,808
K02000001,United Kingdom,overview,06/10/2021,807
K02000001,United Kingdom,overview,05/10/2021,800
K02000001,United Kingdom,overview,04/10/2021,769
K02000001,United Kingdom,overview,03/10/2021,778
K02000001,United Kingdom,overview,02/10/2021,764
K02000001,United Kingdom,overview,01/10/2021,805
K02000001,United Kingdom,overview,30/09/2021,815
K02000001,United Kingdom,overview,29/09/2021,813
K02000001,United Kingdom,overview,28/09/2021,826
K02000001,United Kingdom,overview,27/09/2021,831
K02000001,United Kingdom,overview,26/09/2021,839
K02000001,United Kingdom,overview,25/09/2021,874
K02000001,United Kingdom,overview,24/09/2021,878
K02000001,United Kingdom,overview,23/09/2021,916
K02000001,United Kingdom,overview,22/09/2021,939
K02000001,United Kingdom,overview,21/09/2021,943
K02000001,United Kingdom,overview,20/09/2021,982
K02000001,United Kingdom,overview,19/09/2021,1006
K02000001,United Kingdom,overview,18/09/2021,1004
K02000001,United Kingdom,overview,17/09/2021,1011
K02000001,United Kingdom,overview,16/09/2021,1020
K02000001,United Kingdom,overview,15/09/2021,1081
K02000001,United Kingdom,overview,14/09/2021,1060
K02000001,United Kingdom,overview,13/09/2021,1056
K02000001,United Kingdom,overview,12/09/2021,1055
K02000001,United Kingdom,overview,11/09/2021,1027
K02000001,United Kingdom,overview,10/09/2021,1056
K02000001,United Kingdom,overview,09/09/2021,1051
K02000001,United Kingdom,overview,08/09/2021,1060
K02000001,United Kingdom,overview,07/09/2021,1047
K02000001,United Kingdom,overview,06/09/2021,1062
K02000001,United Kingdom,overview,05/09/2021,1018
K02000001,United Kingdom,overview,04/09/2021,1019
K02000001,United Kingdom,overview,03/09/2021,1034
K02000001,United Kingdom,overview,02/09/2021,1038
K02000001,United Kingdom,overview,01/09/2021,1030
K02000001,United Kingdom,overview,31/08/2021,1014
K02000001,United Kingdom,overview,30/08/2021,984
K02000001,United Kingdom,overview,29/08/2021,971
