areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-11-29,787
K02000001,United Kingdom,overview,2021-11-28,700
K02000001,United Kingdom,overview,2021-11-27,708
K02000001,United Kingdom,overview,2021-11-26,718
K02000001,United Kingdom,overview,2021-11-25,760
K02000001,United Kingdom,overview,2021-11-24,895
K02000001,United Kingdom,overview,2021-11-23,771
K02000001,United Kingdom,overview,2021-11-22,732
K02000001,United Kingdom,overview,2021-11-21,749
K02000001,United Kingdom,overview,2021-11-20,727
K02000001,United Kingdom,overview,2021-11-19,766
K02000001,United Kingdom,overview,2021-11-18,835
K02000001,United Kingdom,overview,2021-11-17,852
K02000001,United Kingdom,overview,2021-11-16,891
K02000001,United Kingdom,overview,2021-11-15,833
K02000001,United Kingdom,overview,2021-11-14,806
K02000001,United Kingdom,overview,2021-11-13,773
K02000001,United Kingdom,overview,2021-11-12,885
K02000001,United Kingdom,overview,2021-11-11,956
K02000001,United Kingdom,overview,2021-11-10,979
K02000001,United Kingdom,overview,2021-11-09,983
K02000001,United Kingdom,overview,2021-11-08,1010
K02000001,United Kingdom,overview,2021-11-07,879
K02000001,United Kingdom,overview,2021-11-06,824
K02000001,United Kingdom,overview,2021-11-05,849
K02000001,United Kingdom,overview,2021-11-04,875
K02000001,United Kingdom,overview,2021-11-03,978
K02000001,United Kingdom,overview,2021-11-02,1078
K02000001,United Kingdom,overview,2021-11-01,1091
K02000001,United Kingdom,overview,2021-10-31,1009
K02000001,United Kingdom,overview,2021-10-30,901
K02000001,United Kingdom,overview,2021-10-29,1026
K02000001,United Kingdom,overview,2021-10-28,1079
K02000001,United Kingdom,overview,2021-10-27,1150
K02000001,United Kingdom,overview,2021-10-26,1113
K02000001,United Kingdom,overview,2021-10-25,1059
K02000001,United Kingdom,overview,2021-10-24,972
K02000001,United Kingdom,overview,2021-10-23,911
K02000001,United Kingdom,overview,2021-10-22,935
K02000001,United Kingdom,overview,2021-10-21,979
K02000001,United Kingdom,overview,2021-10-20,1110
K02000001,United Kingdom,overview,2021-10-19,1107
K02000001,United Kingdom,overview,2021-10-18,1084
K02000001,United Kingdom,overview,2021-10-17,970
K02000001,United Kingdom,overview,2021-10-16,884
K02000001,United Kingdom,overview,2021-10-15,948
K02000001,United Kingdom,overview,2021-10-14,914
K02000001,United Kingdom,overview,2021-10-13,924
K02000001,United Kingdom,overview,2021-10-12,940
K02000001,United Kingdom,overview,2021-10-11,846
K02000001,United Kingdom,overview,2021-10-10,732
K02000001,United Kingdom,overview,2021-10-09,767
K02000001,United Kingdom,overview,2021-10-08,787
K02000001,United Kingdom,overview,2021-10-07,820
K02000001,United Kingdom,overview,2021-10-06,780
K02000001,United Kingdom,overview,2021-10-05,836
K02000001,United Kingdom,overview,2021-10-04,808
K02000001,United Kingdom,overview,2021-10-03,718
K02000001,United Kingdom,overview,2021-10-02,697
K02000001,United Kingdom,overview,2021-10-01,694
K02000001,United Kingdom,overview,2021-09-30,704
K02000001,United Kingdom,overview,2021-09-29,809
K02000001,United Kingdom,overview,2021-09-28,777
K02000001,United Kingdom,overview,2021-09-27,784
K02000001,United Kingdom,overview,2021-09-26,670
K02000001,United Kingdom,overview,2021-09-25,675
K02000001,United Kingdom,overview,2021-09-24,727
K02000001,United Kingdom,overview,2021-09-23,778
K02000001,United Kingdom,overview,2021-09-22,752
K02000001,United Kingdom,overview,2021-09-21,801
K02000001,United Kingdom,overview,2021-09-20,812
K02000001,United Kingdom,overview,2021-09-19,731
K02000001,United Kingdom,overview,2021-09-18,758
K02000001,United Kingdom,overview,2021-09-17,752
K02000001,United Kingdom,overview,2021-09-16,891
K02000001,United Kingdom,overview,2021-09-15,949
K02000001,United Kingdom,overview,2021-09-14,949
K02000001,United Kingdom,overview,2021-09-13,942
K02000001,United Kingdom,overview,2021-09-12,864
K02000001,United Kingdom,overview,2021-09-11,850
K02000001,United Kingdom,overview,2021-09-10,921
K02000001,United Kingdom,overview,2021-09-09,1035
K02000001,United Kingdom,overview,2021-09-08,1163
K02000001,United Kingdom,overview,2021-09-07,1104
K02000001,United Kingdom,overview,2021-09-06,1076
K02000001,United Kingdom,overview,2021-09-05,879
K02000001,United Kingdom,overview,2021-09-04,952
K02000001,United Kingdom,overview,2021-09-03,927
K02000001,United Kingdom,overview,2021-09-02,1001
K02000001,United Kingdom,overview,2021-09-01,1082
K02000001,United Kingdom,overview,2021-08-31,1001
K02000001,United Kingdom,overview,2021-08-30,1003
K02000001,United Kingdom,overview,2021-08-29,855
K02000001,United Kingdom,overview,2021-08-28,862
K02000001,United Kingdom,overview,2021-08-27,942
K02000001,United Kingdom,overview,2021-08-26,953
K02000001,United Kingdom,overview,2021-08-25,1036
K02000001,United Kingdom,overview,2021-08-24,1000
K02000001,United Kingdom,overview,2021-08-23,968
K02000001,United Kingdom,overview,2021-08-22,832
K02000001,United Kingdom,overview,2021-08-21,874
K02000001,United Kingdom,overview,2021-08-20,869
K02000001,United Kingdom,overview,2021-08-19,946
K02000001,United Kingdom,overview,2021-08-18,911
K02000001,United Kingdom,overview,2021-08-17,967
K02000001,United Kingdom,overview,2021-08-16,872
K02000001,United Kingdom,overview,2021-08-15,807
K02000001,United Kingdom,overview,2021-08-14,789
K02000001,United Kingdom,overview,2021-08-13,789
K02000001,United Kingdom,overview,2021-08-12,859
K02000001,United Kingdom,overview,2021-08-11,849
K02000001,United Kingdom,overview,2021-08-10,893
K02000001,United Kingdom,overview,2021-08-09,758
K02000001,United Kingdom,overview,2021-08-08,744
K02000001,United Kingdom,overview,2021-08-07,729
K02000001,United Kingdom,overview,2021-08-06,779
K02000001,United Kingdom,overview,2021-08-05,815
K02000001,United Kingdom,overview,2021-08-04,836
K02000001,United Kingdom,overview,2021-08-03,764
K02000001,United Kingdom,overview,2021-08-02,787
K02000001,United Kingdom,overview,2021-08-01,740
K02000001,United Kingdom,overview,2021-07-31,675
K02000001,United Kingdom,overview,2021-07-30,747
K02000001,United Kingdom,overview,2021-07-29,839
K02000001,United Kingdom,overview,2021-07-28,851
K02000001,United Kingdom,overview,2021-07-27,918
K02000001,United Kingdom,overview,2021-07-26,937
K02000001,United Kingdom,overview,2021-07-25,942
K02000001,United Kingdom,overview,2021-07-24,828
K02000001,United Kingdom,overview,2021-07-23,866
K02000001,United Kingdom,overview,2021-07-22,954
K02000001,United Kingdom,overview,2021-07-21,929
K02000001,United Kingdom,overview,2021-07-20,937
K02000001,United Kingdom,overview,2021-07-19,876
K02000001,United Kingdom,overview,2021-07-18,799
K02000001,United Kingdom,overview,2021-07-17,709
K02000001,United Kingdom,overview,2021-07-16,701
K02000001,United Kingdom,overview,2021-07-15,772
K02000001,United Kingdom,overview,2021-07-14,756
K02000001,United Kingdom,overview,2021-07-13,751
K02000001,United Kingdom,overview,2021-07-12,733
K02000001,United Kingdom,overview,2021-07-11,594
K02000001,United Kingdom,overview,2021-07-10,552
K02000001,United Kingdom,overview,2021-07-09,561
K02000001,United Kingdom,overview,2021-07-08,610
K02000001,United Kingdom,overview,2021-07-07,569
K02000001,United Kingdom,overview,2021-07-06,574
K02000001,United Kingdom,overview,2021-07-05,517
