areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate
K02000001,United Kingdom,overview,2021-10-27,55000000
K02000001,United Kingdom,overview,2021-10-26,49794120
K02000001,United Kingdom,overview,2021-10-25,49753037
K02000001,United Kingdom,overview,2021-10-24,49715228
K02000001,United Kingdom,overview,2021-10-23,49689481
K02000001,United Kingdom,overview,2021-10-22,49649389
K02000001,United Kingdom,overview,2021-10-21,49603139
K02000001,United Kingdom,overview,2021-10-20,49554407
K02000001,United Kingdom,overview,2021-10-19,49505327
K02000001,United Kingdom,overview,2021-10-18,49462425
K02000001,United Kingdom,overview,2021-10-17,49422753
K02000001,United Kingdom,overview,2021-10-16,49404916
K02000001,United Kingdom,overview,2021-10-15,49375917
K02000001,United Kingdom,overview,2021-10-14,49335154
K02000001,United Kingdom,overview,2021-10-13,49291665
K02000001,United Kingdom,overview,2021-10-12,49252939
K02000001,United Kingdom,overview,2021-10-11,49216092
K02000001,United Kingdom,overview,2021-10-10,49186920
K02000001,United Kingdom,overview,2021-10-09,49164814
K02000001,United Kingdom,overview,2021-10-08,49133419
K02000001,United Kingdom,overview,2021-10-07,49101734
K02000001,United Kingdom,overview,2021-10-06,49068705
K02000001,United Kingdom,overview,2021-10-05,49035877
K02000001,United Kingdom,overview,2021-10-04,48994530
K02000001,United Kingdom,overview,2021-10-03,48956859
K02000001,United Kingdom,overview,2021-10-02,48932736
K02000001,United Kingdom,overview,2021-10-01,48901670
K02000001,United Kingdom,overview,2021-09-30,48863490
K02000001,United Kingdom,overview,2021-09-29,48829118
K02000001,United Kingdom,overview,2021-09-28,48797579
K02000001,United Kingdom,overview,2021-09-27,48765726
K02000001,United Kingdom,overview,2021-09-26,48740807
K02000001,United Kingdom,overview,2021-09-25,48724823
K02000001,United Kingdom,overview,2021-09-24,48700527
K02000001,United Kingdom,overview,2021-09-23,48672910
K02000001,United Kingdom,overview,2021-09-22,48647827
K02000001,United Kingdom,overview,2021-09-21,48625148
K02000001,United Kingdom,overview,2021-09-20,48604764
K02000001,United Kingdom,overview,2021-09-19,48584614
