areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-11-29,787
K02000001,United Kingdom,overview,2021-10-31,1009
K02000001,United Kingdom,overview,2021-09-30,704
K02000001,United Kingdom,overview,2021-08-31,1001
K02000001,United Kingdom,overview,2021-07-31,675
K02000001,United Kingdom,overview,2021-06-30,416
K02000001,United Kingdom,overview,2021-05-31,127
K02000001,United Kingdom,overview,2021-04-30,110
K02000001,United Kingdom,overview,2021-03-31,269
K02000001,United Kingdom,overview,2021-02-28,770
K02000001,United Kingdom,overview,2021-01-31,2409
K02000001,United Kingdom,overview,2020-12-31,2921
K02000001,United Kingdom,overview,2020-11-30,1406
K02000001,United Kingdom,overview,2020-10-31,1462
K02000001,United Kingdom,overview,2020-09-30,452
K02000001,United Kingdom,overview,2020-08-31,90
K02000001,United Kingdom,overview,2020-07-31,115
K02000001,United Kingdom,overview,2020-06-30,296
K02000001,United Kingdom,overview,2020-05-31,529
K02000001,United Kingdom,overview,2020-04-30,1442
K02000001,United Kingdom,overview,2020-03-31,2832
