Date,Approval,Cases
2020-04-06,50,5257
2020-04-20,47,4413
2020-05-03,49,2979
2020-05-18,39,2577
2020-06-02,35,1489
2020-06-22,32,895
2020-07-06,34,702
2020-07-20,32,812
2020-08-03,34,1086
2020-08-17,29,1079
2020-09-07,30,3857
2020-09-21,27,5591
2020-10-05,27,16525
2020-10-18,27,14167
2020-11-02,26,31502
2020-11-15,28,16017
2020-12-07,27,21314
2020-12-28,31,47677
2021-01-04,32,76116
2021-01-25,30,17147
2021-02-01,32,22328
2021-02-22,35,11236
2021-03-01,36,6877
2021-03-22,37,6201
2021-04-05,36,2618
2021-04-19,37,2600
2021-05-03,38,1971
2021-05-24,38,6016
2021-06-07,37,7738
2021-06-21,33,15952
2021-07-05,32,34187
2021-07-19,31,46879
2021-08-02,31,29269
2021-08-23,27,37021
2021-09-06,27,44137
2021-09-26,26,31516
2021-10-04,25,43071
2021-10-25,25,46640
2021-11-01,26,44205
2021-11-29,25,55016
2021-12-05,26,56588
2021-12-20,22,121607
