areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinationThirdInjectionUptakeByPublishDatePercentage
K02000001,United Kingdom,overview,2021-12-30,90,82.4,59
K02000001,United Kingdom,overview,2021-12-29,90,82.4,58.3
K02000001,United Kingdom,overview,2021-12-28,89.9,82.3,57.5
K02000001,United Kingdom,overview,2021-12-27,89.9,82.2,57
K02000001,United Kingdom,overview,2021-12-26,89.8,82.2,56.5
K02000001,United Kingdom,overview,2021-12-25,89.8,82.2,56.5
K02000001,United Kingdom,overview,2021-12-24,89.8,82.2,56.4
K02000001,United Kingdom,overview,2021-12-23,89.8,82.2,56.1
K02000001,United Kingdom,overview,2021-12-22,89.8,82.1,55.1
K02000001,United Kingdom,overview,2021-12-21,89.7,82,53.6
K02000001,United Kingdom,overview,2021-12-20,89.6,81.9,52
K02000001,United Kingdom,overview,2021-12-19,89.5,81.8,50.4
K02000001,United Kingdom,overview,2021-12-18,89.5,81.7,48.9
K02000001,United Kingdom,overview,2021-12-17,89.4,81.7,47.3
K02000001,United Kingdom,overview,2021-12-16,89.4,81.6,45.8
K02000001,United Kingdom,overview,2021-12-15,89.3,81.5,44.3
K02000001,United Kingdom,overview,2021-12-14,89.3,81.5,43
K02000001,United Kingdom,overview,2021-12-13,89.2,81.4,41.9
K02000001,United Kingdom,overview,2021-12-12,89.2,81.3,41
K02000001,United Kingdom,overview,2021-12-11,89.1,81.3,40.3
K02000001,United Kingdom,overview,2021-12-10,89.1,81.2,39.3
K02000001,United Kingdom,overview,2021-12-09,89,81.2,38.6
K02000001,United Kingdom,overview,2021-12-08,89,81.1,37.8
K02000001,United Kingdom,overview,2021-12-07,89,81.1,37
K02000001,United Kingdom,overview,2021-12-06,88.9,81,36.4
K02000001,United Kingdom,overview,2021-12-05,88.9,81,35.8
K02000001,United Kingdom,overview,2021-12-04,88.9,80.9,35.3
K02000001,United Kingdom,overview,2021-12-03,88.8,80.8,34.5
K02000001,United Kingdom,overview,2021-12-02,88.8,80.8,33.8
K02000001,United Kingdom,overview,2021-12-01,88.7,80.7,33.1
K02000001,United Kingdom,overview,2021-11-30,88.7,80.7,32.4
K02000001,United Kingdom,overview,2021-11-29,88.6,80.6,31.7
K02000001,United Kingdom,overview,2021-11-28,88.6,80.6,31.1
K02000001,United Kingdom,overview,2021-11-27,88.5,80.5,30.6
K02000001,United Kingdom,overview,2021-11-26,88.5,80.5,29.8
K02000001,United Kingdom,overview,2021-11-25,88.5,80.4,29.2
K02000001,United Kingdom,overview,2021-11-24,88.4,80.4,28.5
K02000001,United Kingdom,overview,2021-11-23,88.4,80.4,27.8
K02000001,United Kingdom,overview,2021-11-22,88.3,80.3,27.2
K02000001,United Kingdom,overview,2021-11-21,88.3,80.3,26.7
K02000001,United Kingdom,overview,2021-11-20,88.3,80.3,26.2
K02000001,United Kingdom,overview,2021-11-19,88.2,80.2,25.4
K02000001,United Kingdom,overview,2021-11-18,88.2,80.2,24.8
