Date,WIZZL,RYAAY
2016-11-30,1676,79.83999634
2016-12-30,1791,83.26000214
2017-01-31,1781,83.66000366
2017-02-28,1671,81.75
2017-03-31,1641,82.98000336
2017-04-28,1765,91.93000031
2017-05-31,2279,106.7399979
2017-06-30,2421,107.6100006
2017-07-31,2603,113.3300018
2017-08-31,2945,113.6999969
2017-09-01,2954,114.8799973
2017-09-29,2861,105.4199982
2017-10-31,3275,112.1100006
2017-11-30,3344,121.9400024
2017-12-29,3680,104.1900024
2018-01-31,3463,122.7099991
2018-02-28,3625,121.2600021
2018-03-29,3254,122.8499985
2018-04-30,3194,109.9700012
2018-05-31,3402,115.9100037
2018-06-29,3600,114.2300034
2018-07-31,3466,105.4000015
2018-08-31,3171,101.8700027
2018-09-28,2877,96.04000092
2018-10-31,2571,82.80000305
2018-11-30,2996,82.33000183
2018-12-31,2802,71.33999634
2019-01-31,3031,71
2019-02-28,3041,74.54000092
2019-03-29,3010,74.94000244
2019-04-30,3400,77.63999939
2019-05-31,3134,65.22000122
2019-06-28,3409,64.13999939
2019-07-31,3534,62.13000107
2019-08-30,3596,57.29999924
2019-09-30,3615,66.37999725
2019-10-31,3814,74.63999939
2019-11-29,3950,83.31999969
2019-12-31,3895,87.61000061
2020-01-31,4187,86.61000061
2020-02-28,3415,71.68000031
2020-03-31,2307,53.09000015
2020-04-30,2874,63.47000122
2020-05-29,3280,71.76999664
2020-06-30,3336,66.33999634
2020-07-31,3216,75
2020-08-28,3888,86
2020-09-30,3114,81.76000214
2020-10-30,3194,80.59999847
2020-11-30,4502,103.7699966
2020-12-31,4564,109.9800034
2021-01-29,4368,95.06999969
2021-02-26,5310,107.5199966
2021-03-31,4822,115
2021-04-30,4901,116.8499985
2021-05-28,4823,116.75
2021-06-30,4669,108.2099991
2021-07-30,4950,109.0400009
2021-08-31,4860,107.6999969
2021-09-30,5014,110.0599976
2021-10-29,4621,113.5100021
2021-11-26,3729,100
